"",,Statistik,,,,planerisch gesichert,,,Planungen,,
Bz.,,Schüler,Kapazität,Differenz,,gepl. Kap.- erwartete,Differenz,,gepl. Kap.-,erwartete,notw. Kap.-
"",Bezirk,,,,Schüler,zuwachs Kapazität,,Schüler,zuwachs***,Kapazität,zuwachs
Nr.,,2015/16,31.12.2016,2015/16,2021/22*,bis 2021/22** 2021/22,2021/22,2024/25*,bis 2024/25,bis 2024/25,bis 2024/25
1,2,3,4,5,6,7 8,9,10,11,12,13
"",,,,4-3,,4+7,8-6,,,8+11,12-10
01,Mi,"43,8","44,0","0,2","52,9","8,0 52,0","-0,9","59,0","2,0","54,0","-5,0"
02,Fr-Kr,"36,0","47,5","11,5","43,0","0,0 47,5","4,5","45,0","4,0","51,5","6,5"
03,Pa,"46,7","48,0","1,3","65,7","6,0 54,0","-11,7","71,0","20,0","74,0","3,0"
04,Ch-Wi,"38,8","41,5","2,7","45,9","0,0 41,5","-4,4","49,0","1,5","43,0","-6,0"
05,Sp,"49,2","51,0","1,8","60,7","0,0 51,0","-9,7","69,0","3,5","54,5","-14,5"
06,St-Ze,"43,2","43,0","-0,2","48,2","1,0 44,0","-4,2","51,0","0,0","44,0","-7,0"
07,Te-Sch,"57,5","58,0","0,5","66,7","1,5 59,5","-7,2","72,0","1,5","61,0","-11,0"
08,Nk,"55,1","62,0","6,9","58,3","2,5 64,5","6,2","63,0","0,0","64,5","1,5"
09,Tr-Kö,"39,6","37,0","-2,6","48,7","8,0 45,0","-3,7","55,0","0,0","45,0","-10,0"
10,Ma-He,"42,0","48,5","6,5","52,0","7,5 56,0","4,0","57,0","0,0","56,0","-1,0"
11,Li,"56,5","46,5","-10,0","84,5","21,0 67,5","-17,0","97,0","25,5","93,0","-4,0"
12,Rd,"50,7","49,5","-1,2","64,3","5,5 55,0","-9,3","68,0","6,0","61,0","-7,0"
"",Berlin,"559,1","576,5","17,4","690,9","61,0 637,5","-53,4","756,0","64,0","701,5","-54,5"
