01,Mi,1,01G24,Gottfried-Röhl-G,"3,5",,"3,5","1,5","5,0",,"5,0","1,5",,,"1,5",,,,,,,,,,"6,0",,,,,,Erweiterung wird geprüft
01,Mi,1,01G40,Möwensee-G,"3,0",,"3,0","1,5","4,5",,"4,5","1,5",,,"1,5","1,5",,,,,"3,5",,,,"3,5",,,,,,
01,Mi,1,01G42,Anna-Lindh-G,"4,5",,"4,5","1,5","6,0",,"6,0","1,5",,,"1,5","1,5",,,,,"3,5",,,,"3,5",,,,,,Erweiterung wird geprüft
01,Mi,2,01G36,Andersen-G,"2,5",,"2,5","1,0","3,5",,"3,5","1,0",,,"1,0",,,,,,,,,,"6,0",,,,,,Erweiterung wird geprüft
01,Mi,2,01Gn05,Gotenburger Str. 7 - 9,,,,"3,0","3,0",,"3,0","3,0",,"3,0",,,,,,,,,,,,,,,,,Verfügbar nach Aufgabe derzeitiger Nutzung
01,Mi,3,01G28,Brüder-Grimm-G,"3,5",,"3,5","1,0","4,5",,"4,5","1,0","1,0",,,,,,,,,,,,,,,,,,Verfügbar nach Aufgabe derzeitiger Nutzung
01,Mi,3,01G31,Wedding-G,"4,0",,"4,0","1,0","5,0",,"5,0","1,0",,,"1,0",,,,,,,,,,"6,0",,,,,,Erweiterung wird geprüft
01,Mi,3,01G43,Albert-Gutzmann-S,"3,0",,"3,0","1,0","4,0",,"4,0","1,0",,,"1,0",,,,,,,,,,"6,0",,,,,,Erweiterung wird geprüft
01,Mi,3,01G45,Leo-Lionni-G,"3,5","0,5","4,0",,"4,0",,"4,0","0,5","0,5",,,,,,,,,,,,,,,,,,
01,Mi,4,01K04,H.-v.-Stephan GemS,,"2,0","2,0",,"2,0",,"2,0","2,0",,,"2,0","2,0",,,,,,"3,3",,,,,,,,,Gemeinschaftsschule Aufbau Grundstufe
01,Mi,4,01Kn01,SISB,,,,"2,0","2,0",,"2,0","2,0",,"2,0",,,,,,,,,,,,,x,,,,Verfügbar nach Aufgabe derzeitiger Nutzung
01,Mi,5,01G11,Kurt-Tucholsky-G,"4,5",,"4,5","1,5","6,0",,"6,0","1,5",,,"1,5",,,,x,,,,,,,,,,,,Erweiterung um Standort Kruppstr. 14 A
