01,Mi,01K03,Ernst-Reuter-Schule,"8,0",,"8,0",,"8,0","-2,0","6,0","-2,0","-2,0",,,,,,,"3,0","13,7",,,,,,,,,Qualifizierung Gesamtstandort
01,Mi,01Kn02,ISS Pankstr.,,,,"6,0","6,0",,"6,0","6,0",,"6,0",,,,,,,,,"20,0",,x,,,,,nach Aufgabe Zwischennutzung und Sanierung
01,Mi,01Kn01,Staatl. Internationale S.,,,,"2,0","2,0",,"2,0","2,0",,"2,0",,,,,,,,,,,x,,,,,nach Aufgabe Zwischennutzung und Sanierung
01,Mi,01Kn03,Sellerstr./Chausseestr.,,,,,,"4,0","4,0","4,0",,,,,"4,0",,,,,,"30,0",,x,,,,,"Noch nicht konkret, GemS mit 01Gn02 möglich"
02,Fr-Kr,02Kn01,Müncheberger Str.(Ostbhf.),,,,,,"4,0","4,0","4,0",,,,,"4,0",,,,,,"30,0",,x,,,,,Langfristig. Prüfung noch nicht abgeschlossen
03,Pa,03K02,Kurt-Tucholsky-Sch.,"4,0","2,0","6,0",,"6,0",,"6,0","2,0",,,"2,0","2,0",,,,"4,9",,,,,,,,,,
03,Pa,03K03,Konrad-Duden-Schule,"3,0","2,5","5,5",,"5,5",,"5,5","2,5",,,"2,5","2,5",,,,"4,9",,,,,,,,,,
03,Pa,03K08,Hagenbeck-Schule,"3,0","1,5","4,5",,"4,5",,"4,5","1,5",,,"1,5","1,5",,"3,3",,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B-Plan erf.,Eigentumsverhältnisse, schwieriges"
03,Pa,03Kn05,Rangierbhf Heinersdorf,,,,,,"4,0","4,0","4,0",,,,,"4,0",,,,,,,,x,x,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grundstück, Kosten s. 03Gn16"
03,Pa,03Kn02,Falkenberger Str. 31,,,,,,"6,0","6,0","6,0",,,,,"6,0",,,,,,"40,0",,,x,,,,
03,Pa,03K01,Blankenb. Pflasterweg,,,,,,"6,0","6,0","6,0",,,,,"6,0",,,,,,"40,0",,x,,,,,"B-Plan erf., Gemeinschaftsschule möglich"
03,Pa,03Kn03,Heinersdorfer Str. 22,,,,,,"4,0","4,0","4,0",,,,,"4,0",,,,,,"30,0",,x,,,,,"B-Plan erf., Gemeinschaftsschule möglich"
